# Attempt at a cleaner version of the kidney cancer data from section 2.7 of Bayesian Data Analysis, 3rd edition (Gelman et al.)
# Based on http://www.stat.columbia.edu/~gelman/book/data/cancer/
# Columns 4 to 12 correspond to 1980-84; columns 13 to 21 to 1985-89
# Robin Ryder, 12 September 2019
"","state","Location","fips","dc","dcV","pop","popV","aadc","aadcV","dcC","dcCV","good","dc.2","dcV.2","pop.2","popV.2","aadc.2","aadcV.2","dcC.2","dcCV.2","good.2"
"2725","ALABAMA","Talladega County, Alabama",1121,7,"VALID",124823,"VALID",5.3,"UNRELIABLE",5.6,"UNRELIABLE",1,5,"VALID",125581,"VALID",3.6,"UNRELIABLE",4,"UNRELIABLE",1
"2727","ALABAMA","Tallapoosa County, Alabama",1123,8,"VALID",67871,"VALID",8.9,"UNRELIABLE",11.8,"UNRELIABLE",1,7,"VALID",68002,"VALID",7.6,"UNRELIABLE",10.3,"UNRELIABLE",1
"2810","ALABAMA","Tuscaloosa County, Alabama",1125,14,"VALID",248411,"VALID",6.4,"UNRELIABLE",5.6,"UNRELIABLE",1,9,"VALID",261898,"VALID",3.7,"UNRELIABLE",3.4,"UNRELIABLE",1
"2884","ALABAMA","Walker County, Alabama",1127,11,"VALID",153192,"VALID",6.7,"UNRELIABLE",7.2,"UNRELIABLE",1,6,"VALID",153522,"VALID",3.6,"UNRELIABLE",3.9,"UNRELIABLE",1
"2921","ALABAMA","Washington County, Alabama",1129,0,"VALID",28730,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,1,"VALID",27858,"VALID",3.3,"UNRELIABLE",3.6,"UNRELIABLE",1
"3023","ALABAMA","Wilcox County, Alabama",1131,2,"VALID",11144,"VALID",13.7,"UNRELIABLE",17.9,"UNRELIABLE",1,1,"VALID",10727,"VALID",8.1,"UNRELIABLE",9.3,"UNRELIABLE",1
"3054","ALABAMA","Winston County, Alabama",1133,2,"VALID",53346,"VALID",3.5,"UNRELIABLE",3.7,"UNRELIABLE",1,3,"VALID",53220,"VALID",4.9,"UNRELIABLE",5.6,"UNRELIABLE",1
"71","ARIZONA","Apache County, Arizona",4001,2,"VALID",31666,"VALID",8.1,"UNRELIABLE",6.3,"UNRELIABLE",1,0,"VALID",32878,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"577","ARIZONA","Cochise County, Arizona",4003,6,"VALID",205855,"VALID",2.9,"UNRELIABLE",2.9,"UNRELIABLE",1,9,"VALID",221501,"VALID",4.2,"UNRELIABLE",4.1,"UNRELIABLE",1
"580","ARIZONA","Coconino County, Arizona",4005,1,"VALID",140337,"VALID",1.3,"UNRELIABLE",0.7,"UNRELIABLE",1,5,"VALID",156442,"VALID",4.4,"UNRELIABLE",3.2,"UNRELIABLE",1
"1027","ARIZONA","Gila County, Arizona",4007,2,"VALID",80228,"VALID",1.9,"UNRELIABLE",2.5,"UNRELIABLE",1,7,"VALID",81259,"VALID",6.3,"UNRELIABLE",8.6,"UNRELIABLE",1
"1060","ARIZONA","Graham County, Arizona",4009,7,"VALID",51342,"VALID",13.7,"UNRELIABLE",13.6,"UNRELIABLE",1,6,"VALID",53873,"VALID",11,"UNRELIABLE",11.1,"UNRELIABLE",1
"1114","ARIZONA","Greenlee County, Arizona",4011,2,"VALID",27215,"VALID",10,"UNRELIABLE",7.3,"UNRELIABLE",1,0,"VALID",20305,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"1798","ARIZONA","Maricopa County, Arizona",4013,172,"VALID",3728024,"VALID",4.6,"VALID",4.6,"VALID",1,201,"VALID",4529317,"VALID",4.3,"VALID",4.4,"VALID",1
"1928","ARIZONA","Mohave County, Arizona",4015,8,"VALID",149437,"VALID",4.6,"UNRELIABLE",5.4,"UNRELIABLE",1,22,"VALID",189941,"VALID",7.6,"VALID",11.6,"VALID",1
"2026","ARIZONA","Navajo County, Arizona",4017,4,"VALID",85480,"VALID",5.9,"UNRELIABLE",4.7,"UNRELIABLE",1,6,"VALID",88941,"VALID",7,"UNRELIABLE",6.7,"UNRELIABLE",1
"2247","ARIZONA","Pima County, Arizona",4019,68,"VALID",1279446,"VALID",5.1,"VALID",5.3,"VALID",1,82,"VALID",1430268,"VALID",5.3,"VALID",5.7,"VALID",1
"2248","ARIZONA","Pinal County, Arizona",4021,8,"VALID",211886,"VALID",3.8,"UNRELIABLE",3.8,"UNRELIABLE",1,13,"VALID",243082,"VALID",4.6,"UNRELIABLE",5.3,"UNRELIABLE",1
"2527","ARIZONA","Santa Cruz County, Arizona",4023,5,"VALID",50366,"VALID",11.3,"UNRELIABLE",9.9,"UNRELIABLE",1,5,"VALID",60619,"VALID",9.6,"UNRELIABLE",8.2,"UNRELIABLE",1
"3092","ARIZONA","Yavapai County, Arizona",4025,14,"VALID",176766,"VALID",4.4,"UNRELIABLE",7.9,"UNRELIABLE",1,21,"VALID",223856,"VALID",5.6,"VALID",9.4,"VALID",1
"3106","ARIZONA","Yuma County, Arizona",4027,8,"VALID",223082,"VALID",3.3,"UNRELIABLE",3.6,"UNRELIABLE",1,13,"VALID",253889,"VALID",4.1,"UNRELIABLE",5.1,"UNRELIABLE",1
"80","ARKANSAS","Arkansas County, Arkansas",5001,1,"VALID",46225,"VALID",1.5,"UNRELIABLE",2.2,"UNRELIABLE",1,3,"VALID",41975,"VALID",6.3,"UNRELIABLE",7.1,"UNRELIABLE",1
"90","ARKANSAS","Ashley County, Arkansas",5003,3,"VALID",46592,"VALID",5.6,"UNRELIABLE",6.4,"UNRELIABLE",1,1,"VALID",44659,"VALID",1.8,"UNRELIABLE",2.2,"UNRELIABLE",1
"147","ARKANSAS","Baxter County, Arkansas",5005,5,"VALID",67372,"VALID",3.1,"UNRELIABLE",7.4,"UNRELIABLE",1,4,"VALID",72193,"VALID",3.3,"UNRELIABLE",5.5,"UNRELIABLE",1
"179","ARKANSAS","Benton County, Arkansas",5007,5,"VALID",193157,"VALID",1.8,"UNRELIABLE",2.6,"UNRELIABLE",1,15,"VALID",216121,"VALID",5.8,"UNRELIABLE",6.9,"UNRELIABLE",1
"229","ARKANSAS","Boone County, Arkansas",5009,5,"VALID",63365,"VALID",6.1,"UNRELIABLE",7.9,"UNRELIABLE",1,5,"VALID",66343,"VALID",6.7,"UNRELIABLE",7.5,"UNRELIABLE",1
"256","ARKANSAS","Bradley County, Arkansas",5011,0,"VALID",22293,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,0,"VALID",20474,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"344","ARKANSAS","Calhoun County, Arkansas",5013,0,"VALID",10831,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,2,"VALID",10954,"VALID",12.1,"UNRELIABLE",18.3,"UNRELIABLE",1
"389","ARKANSAS","Carroll County, Arkansas",5015,1,"VALID",39753,"VALID",1.4,"UNRELIABLE",2.5,"UNRELIABLE",1,3,"VALID",43077,"VALID",5.9,"UNRELIABLE",7,"UNRELIABLE",1
"488","ARKANSAS","Chicot County, Arkansas",5017,1,"VALID",19774,"VALID",4.1,"UNRELIABLE",5.1,"UNRELIABLE",1,0,"VALID",17625,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"515","ARKANSAS","Clark County, Arkansas",5019,2,"VALID",43324,"VALID",3.7,"UNRELIABLE",4.6,"UNRELIABLE",1,1,"VALID",41266,"VALID",1.5,"UNRELIABLE",2.4,"UNRELIABLE",1
"534","ARKANSAS","Clay County, Arkansas",5021,5,"VALID",48002,"VALID",7.1,"UNRELIABLE",10.4,"UNRELIABLE",1,5,"VALID",44842,"VALID",6.9,"UNRELIABLE",11.2,"UNRELIABLE",1
"558","ARKANSAS","Cleburne County, Arkansas",5023,3,"VALID",42470,"VALID",4.4,"UNRELIABLE",7.1,"UNRELIABLE",1,4,"VALID",45415,"VALID",4.9,"UNRELIABLE",8.8,"UNRELIABLE",1
"560","ARKANSAS","Cleveland County, Arkansas",5025,0,"VALID",16319,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,1,"VALID",16595,"VALID",5.5,"UNRELIABLE",6,"UNRELIABLE",1
"600","ARKANSAS","Columbia County, Arkansas",5027,3,"VALID",41799,"VALID",6.5,"UNRELIABLE",7.2,"UNRELIABLE",1,5,"VALID",40664,"VALID",10,"UNRELIABLE",12.3,"UNRELIABLE",1
"621","ARKANSAS","Conway County, Arkansas",5029,3,"VALID",39711,"VALID",6.7,"UNRELIABLE",7.6,"UNRELIABLE",1,1,"VALID",39397,"VALID",2.3,"UNRELIABLE",2.5,"UNRELIABLE",1
"647","ARKANSAS","Craighead County, Arkansas",5031,8,"VALID",144315,"VALID",6,"UNRELIABLE",5.5,"UNRELIABLE",1,7,"VALID",148885,"VALID",4.9,"UNRELIABLE",4.7,"UNRELIABLE",1
"650","ARKANSAS","Crawford County, Arkansas",5033,8,"VALID",88475,"VALID",8.7,"UNRELIABLE",9,"UNRELIABLE",1,4,"VALID",95976,"VALID",4,"UNRELIABLE",4.2,"UNRELIABLE",1
"664","ARKANSAS","Crittenden County, Arkansas",5035,0,"VALID",68034,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,1,"VALID",68334,"VALID",1.6,"UNRELIABLE",1.5,"UNRELIABLE",1
"671","ARKANSAS","Cross County, Arkansas",5037,1,"VALID",37277,"VALID",2.8,"UNRELIABLE",2.7,"UNRELIABLE",1,2,"VALID",35786,"VALID",5.2,"UNRELIABLE",5.6,"UNRELIABLE",1
"704","ARKANSAS","Dallas County, Arkansas",5039,0,"VALID",15660,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,0,"VALID",14894,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1
"760","ARKANSAS","Desha County, Arkansas",5041,0,"VALID",26539,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,1,"VALID",24433,"VALID",3.5,"UNRELIABLE",4.1,"UNRELIABLE",1
"811","ARKANSAS","Drew County, Arkansas",5043,0,"VALID",31871,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,4,"VALID",31374,"VALID",11.5,"UNRELIABLE",12.7,"UNRELIABLE",1
"901","ARKANSAS","Faulkner County, Arkansas",5045,6,"VALID",106008,"VALID",6.2,"UNRELIABLE",5.7,"UNRELIABLE",1,4,"VALID",121957,"VALID",3.7,"UNRELIABLE",3.3,"UNRELIABLE",1
"947","ARKANSAS","Franklin County, Arkansas",5047,1,"VALID",35824,"VALID",1.8,"UNRELIABLE",2.8,"UNRELIABLE",1,2,"VALID",36425,"VALID",3.3,"UNRELIABLE",5.5,"UNRELIABLE",1
"983","ARKANSAS","Fulton County, Arkansas",5049,2,"VALID",24067,"VALID",6.4,"UNRELIABLE",8.3,"UNRELIABLE",1,2,"VALID",23899,"VALID",3.8,"UNRELIABLE",8.4,"UNRELIABLE",1
"1008","ARKANSAS","Garland County, Arkansas",5051,10,"VALID",154925,"VALID",3.8,"UNRELIABLE",6.5,"UNRELIABLE",1,18,"VALID",158622,"VALID",7.1,"UNRELIABLE",11.3,"UNRELIABLE",1
"1070","ARKANSAS","Grant County, Arkansas",5053,1,"VALID",30939,"VALID",3.6,"UNRELIABLE",3.2,"UNRELIABLE",1,1,"VALID",32318,"VALID",2.5,"UNRELIABLE",3.1,"UNRELIABLE",1
"1100","ARKANSAS","Greene County, Arkansas",5055,5,"VALID",74064,"VALID",6.2,"UNRELIABLE",6.8,"UNRELIABLE",1,4,"VALID",75475,"VALID",4.3,"UNRELIABLE",5.3,"UNRELIABLE",1
"1226","ARKANSAS","Hempstead County, Arkansas",5057,1,"VALID",39065,"VALID",1.7,"UNRELIABLE",2.6,"UNRELIABLE",1,3,"VALID",37129,"VALID",7.1,"UNRELIABLE",8.1,"UNRELIABLE",1
"1283","ARKANSAS","Hot Spring County, Arkansas",5059,0,"VALID",57208,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,3,"VALID",57181,"VALID",4.1,"UNRELIABLE",5.2,"UNRELIABLE",1
"1291","ARKANSAS","Howard County, Arkansas",5061,0,"VALID",25969,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,2,"VALID",25798,"VALID",7.7,"UNRELIABLE",7.8,"UNRELIABLE",1
"1325","ARKANSAS","Independence County, Arkansas",5063,3,"VALID",73710,"VALID",3.7,"UNRELIABLE",4.1,"UNRELIABLE",1,4,"VALID",74203,"VALID",4.4,"UNRELIABLE",5.4,"UNRELIABLE",1
"1349","ARKANSAS","Izard County, Arkansas",5065,2,"VALID",26129,"VALID",3.2,"UNRELIABLE",7.7,"UNRELIABLE",1,2,"VALID",26338,"VALID",3,"UNRELIABLE",7.6,"UNRELIABLE",1
"1352","ARKANSAS","Jackson County, Arkansas",5067,1,"VALID",44210,"VALID",2,"UNRELIABLE",2.3,"UNRELIABLE",1,3,"VALID",40330,"VALID",5.6,"UNRELIABLE",7.4,"UNRELIABLE",1
"1388","ARKANSAS","Jefferson County, Arkansas",5069,11,"VALID",128789,"VALID",7.9,"UNRELIABLE",8.5,"UNRELIABLE",1,6,"VALID",122469,"VALID",4.4,"UNRELIABLE",4.9,"UNRELIABLE",1
"1425","ARKANSAS","Johnson County, Arkansas",5071,4,"VALID",42421,"VALID",6.5,"UNRELIABLE",9.4,"UNRELIABLE",1,5,"VALID",43192,"VALID",10.4,"UNRELIABLE",11.6,"UNRELIABLE",1
"1527","ARKANSAS","Lafayette County, Arkansas",5073,0,"VALID",14603,"VALID",0,"UNRELIABLE",0,"UNRELIABLE",1,1,"VALID",14653,"VALID",5.9,"UNRELIABLE",6.8,"UNRELIABLE",1
"1586","ARKANSAS","Lawrence County, Arkansas",5075,1,"VALID",43826,"VALID",1.4,"UNRELIABLE",2.3,"UNRELIABLE",1,4,"VALID",42407,"VALID",6.4,"UNRELIABLE",9.4,"UNRELIABLE",1
"1601","ARKANSAS","Lee County, Arkansas",5077,1,"VALID",16598,"VALID",4.6,"UNRELIABLE",6,"UNRELIABLE",1,2,"VALID",14755,"VALID",11.9,"UNRELIABLE",13.6,"UNRELIABLE",1
